Date,traffic,day_of_week,month,year,covid,holiday,hours_daylight,TAVG,PRCP,AWND,SNOW
2012-10-03,7042.0,2,10,2012,0,0.0,11.277359236496748,56.0,0.0,16.33,0.0
2012-10-04,6950.0,3,10,2012,0,0.0,11.219141593709274,56.5,0.0,14.54,0.0
2012-10-05,6296.0,4,10,2012,0,0.0,11.161037510141554,59.5,0.0,12.75,0.0
2012-10-06,4012.0,5,10,2012,0,0.0,11.103056478579875,60.5,0.0,11.41,0.0
2012-10-07,4284.0,6,10,2012,0,0.0,11.045208198323877,60.5,0.0,2.91,0.0
2012-10-08,7074.0,0,10,2012,0,1.0,10.987502588667526,58.0,0.0,4.25,0.0
2012-10-09,7002.0,1,10,2012,0,0.0,10.92994980215941,54.5,0.0,3.58,0.0
2012-10-10,6470.0,2,10,2012,0,0.0,10.872560237618186,50.5,0.0,3.13,0.0
2012-10-11,6094.0,3,10,2012,0,0.0,10.815344552878981,51.0,0.0,2.91,0.0
2012-10-12,4022.0,4,10,2012,0,0.0,10.758313677241961,52.5,0.08,10.29,0.0
2012-10-13,1532.0,5,10,2012,0,0.0,10.70147882359555,57.0,0.19,8.72,0.0
2012-10-14,1396.0,6,10,2012,0,0.0,10.64485150018159,60.0,0.65,7.61,0.0
2012-10-15,4546.0,0,10,2012,0,0.0,10.588443521970554,57.5,0.31,10.29,0.0
2012-10-16,6072.0,1,10,2012,0,0.0,10.532267021611009,54.0,0.0,12.3,0.0
2012-10-17,6486.0,2,10,2012,0,0.0,10.476334459915444,50.5,0.0,3.58,0.0
2012-10-18,5846.0,3,10,2012,0,0.0,10.420658635843873,54.0,0.82,4.47,0.0
2012-10-19,3954.0,4,10,2012,0,0.0,10.365252695942027,54.0,0.19,11.86,0.0
2012-10-20,2136.0,5,10,2012,0,0.0,10.310130143190996,47.5,0.02,12.75,0.0
2012-10-21,1978.0,6,10,2012,0,0.0,10.255304845221401,46.5,0.25,6.04,0.0
2012-10-22,4258.0,0,10,2012,0,0.0,10.200791041843253,42.0,0.35,5.82,0.0
2012-10-23,5000.0,1,10,2012,0,0.0,10.146603351840627,47.0,0.0,6.71,0.0
2012-10-24,4858.0,2,10,2012,0,0.0,10.092756778978623,48.0,0.28,4.7,0.0
2012-10-25,5426.0,3,10,2012,0,0.0,10.039266717165974,48.5,0.0,3.36,0.0
2012-10-26,4146.0,4,10,2012,0,0.0,9.986148954718033,48.5,0.06,5.59,0.0
2012-10-27,1062.0,5,10,2012,0,0.0,9.933419677659105,53.5,0.91,11.41,0.0
2012-10-28,2124.0,6,10,2012,0,0.0,9.881095472004354,54.0,0.24,8.5,0.0
2012-10-29,4434.0,0,10,2012,0,0.0,9.829193324959157,55.0,0.43,10.96,0.0
2012-10-30,3470.0,1,10,2012,0,0.0,9.77773062497099,56.5,1.36,6.26,0.0
2012-10-31,3420.0,2,10,2012,0,0.0,9.726725160571108,56.0,0.57,6.04,0.0
2012-11-01,4182.0,3,11,2012,0,0.0,9.676195117938608,55.0,0.38,6.71,0.0
2012-11-02,4956.0,4,11,2012,0,0.0,9.626159077122226,55.0,0.22,2.24,0.0
2012-11-03,1904.0,5,11,2012,0,0.0,9.57663600685421,56.0,0.02,8.05,0.0
2012-11-04,2022.0,6,11,2012,0,0.0,9.527645257889915,59.5,0.32,8.5,0.0
2012-11-05,5620.0,0,11,2012,0,0.0,9.479206554809725,52.5,0.03,8.95,0.0
2012-11-06,4986.0,1,11,2012,0,0.0,9.431339986219832,49.5,0.01,7.83,0.0
2012-11-07,5438.0,2,11,2012,0,0.0,9.38406599329054,46.5,0.0,7.61,0.0
2012-11-08,5382.0,3,11,2012,0,0.0,9.337405356574699,42.0,0.0,7.61,0.0
2012-11-09,4812.0,4,11,2012,0,0.0,9.29137918105015,41.0,0.0,4.47,0.0
2012-11-10,2538.0,5,11,2012,0,0.0,9.24600887933607,38.5,0.0,4.92,0.0
2012-11-11,1256.0,6,11,2012,0,0.0,9.201316153036755,41.0,0.6,6.71,0.0
2012-11-12,3262.0,0,11,2012,0,1.0,9.157322972171778,49.0,0.14,6.71,0.0
2012-11-13,4174.0,1,11,2012,0,0.0,9.114051552659358,49.0,0.21,5.59,0.0
2012-11-14,5200.0,2,11,2012,0,0.0,9.071524331824882,46.5,0.03,5.82,0.0
2012-11-15,5040.0,3,11,2012,0,0.0,9.029763941917109,43.0,0.0,5.37,0.0
2012-11-16,4012.0,4,11,2012,0,0.0,8.988793181621283,42.5,0.22,3.58,0.0
2012-11-17,1280.0,5,11,2012,0,0.0,8.948634985570449,48.5,0.24,11.86,0.0
2012-11-18,784.0,6,11,2012,0,0.0,8.909312391865864,46.5,0.31,10.96,0.0
2012-11-19,1934.0,0,11,2012,0,0.0,8.870848507629203,51.5,2.13,13.42,0.0
2012-11-20,3482.0,1,11,2012,0,0.0,8.833266472622975,48.5,0.15,9.4,0.0
2012-11-21,2740.0,2,11,2012,0,0.0,8.79658942098724,43.0,0.44,12.3,0.0
2012-11-22,1108.0,3,11,2012,0,1.0,8.760840441156533,42.5,0.0,3.36,0.0
2012-11-23,710.0,4,11,2012,0,0.0,8.72604253403466,46.0,1.26,5.37,0.0
2012-11-24,1690.0,5,11,2012,0,0.0,8.692218569520314,43.5,0.0,2.68,0.0
2012-11-25,2036.0,6,11,2012,0,0.0,8.659391241493369,40.5,0.0,8.05,0.0
2012-11-26,4716.0,0,11,2012,0,0.0,8.627583021386046,42.0,0.0,8.5,0.0
2012-11-27,5094.0,1,11,2012,0,0.0,8.596816110481127,42.5,0.0,3.36,0.0
2012-11-28,4068.0,2,11,2012,0,0.0,8.567112391094424,42.5,0.11,6.49,0.0
